X;Bulgaria;Estonia;Hungary;Latvia;Lithuania;Poland;Romania;Slovakia;Slovenia;Austria;Belgium;Croatia;Cyprus;Czech.Republic;Denmark;Finland;France;Germany;Greece;Ireland;Italy;Luxembourg;Malta;Netherlands;Portugal;Spain;Sweden;United.Kingdom
1970-Q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-Q2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-Q3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-Q4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-Q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-Q2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-Q3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-Q4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-Q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-Q2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-Q3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-Q4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-Q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-Q2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-Q3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-Q4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-Q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-Q2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-Q3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-Q4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-Q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-Q2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-Q3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-Q4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-Q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-Q2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-Q3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-Q4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-Q1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-Q2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
